plan;anio;nombre
530 Arpa;1;Expresión Corporal
530 Arpa;1;Coro 1
530 Arpa;1;Lenguaje Musical 1
530 Arpa;1;Instrumento Fundamental 1: Arpa
530 Arpa;1;Danzas Folklóricas
530 Arpa;2;Lenguaje Musical 2
530 Arpa;2;Ensamble 1
530 Arpa;2;Instrumento Fundamental 2: Arpa
530 Arpa;2;Coro 2
530 Arpa;3;Apreciación Musical 1
530 Arpa;3;Instrumento Fundamental 3: Arpa
530 Arpa;3;Lenguaje Musical 3
530 Arpa;3;Ensamble 2
530 Arpa;4;Apreciación Musical 2
530 Arpa;4;Lenguaje Musical 4
530 Arpa;4;Optativa 1
530 Arpa;4;Ensamble 3
530 Arpa;4;Instrumento Fundamental 4: Arpa
530 Arpa;5;Ensamble 4
530 Arpa;5;Instrumento Fundamental 5: Arpa
530 Arpa;5;Seminario Armonía
530 Arpa;5;Seminario Ritmo
530 Arpa;5;Optativa 2
530 Bajo Eléctrico;1;Lenguaje Musical 1
530 Bajo Eléctrico;1;Danzas Folklóricas
530 Bajo Eléctrico;1;Coro 1
530 Bajo Eléctrico;1;Instrumento Fundamental 1: Bajo Eléctrico
530 Bajo Eléctrico;1;Expresión Corporal
530 Bajo Eléctrico;2;Lenguaje Musical 2
530 Bajo Eléctrico;2;Instrumento Fundamental 2: Bajo Eléctrico
530 Bajo Eléctrico;2;Ensamble 1
530 Bajo Eléctrico;2;Coro 2
530 Bajo Eléctrico;3;Apreciación Musical 1
530 Bajo Eléctrico;3;Lenguaje Musical 3
530 Bajo Eléctrico;3;Instrumento Fundamental 3: Bajo Eléctrico
530 Bajo Eléctrico;3;Ensamble 2
530 Bajo Eléctrico;4;Instrumento Fundamental 4: Bajo Eléctrico
530 Bajo Eléctrico;4;Apreciación Musical 2
530 Bajo Eléctrico;4;Optativa 1
530 Bajo Eléctrico;4;Lenguaje Musical 4
530 Bajo Eléctrico;4;Ensamble 3
530 Bajo Eléctrico;5;Ensamble 4
530 Bajo Eléctrico;5;Optativa 2
530 Bajo Eléctrico;5;Instrumento Fundamental 5: Bajo Eléctrico
530 Bajo Eléctrico;5;Seminario Armonía
530 Bajo Eléctrico;5;Seminario Ritmo
530 Bandoneón;1;Instrumento Fundamental 1: Bandoneón
530 Bandoneón;1;Coro 1
530 Bandoneón;1;Lenguaje Musical 1
530 Bandoneón;1;Expresión Corporal
530 Bandoneón;1;Danzas Folklóricas
530 Bandoneón;2;Ensamble 1
530 Bandoneón;2;Coro 2
530 Bandoneón;2;Lenguaje Musical 2
530 Bandoneón;2;Instrumento Fundamental 2: Bandoneón
530 Bandoneón;3;Instrumento Fundamental 3: Bandoneón
530 Bandoneón;3;Apreciación Musical 1
530 Bandoneón;3;Lenguaje Musical 3
530 Bandoneón;3;Ensamble 2
530 Bandoneón;4;Ensamble 3
530 Bandoneón;4;Optativa 1
530 Bandoneón;4;Apreciación Musical 2
530 Bandoneón;4;Instrumento Fundamental 4: Bandoneón
530 Bandoneón;4;Lenguaje Musical 4
530 Bandoneón;5;Optativa 2
530 Bandoneón;5;Seminario Ritmo
530 Bandoneón;5;Ensamble 4
530 Bandoneón;5;Seminario Armonía
530 Bandoneón;5;Instrumento Fundamental 5: Bandoneón
530 Batería;1;Expresión Corporal
530 Batería;1;Instrumento Fundamental 1: Batería
530 Batería;1;Danzas Folklóricas
530 Batería;1;Lenguaje Musical 1
530 Batería;1;Coro 1
530 Batería;2;Coro 2
530 Batería;2;Ensamble 1
530 Batería;2;Lenguaje Musical 2
530 Batería;2;Instrumento Fundamental 2: Batería
530 Batería;3;Lenguaje Musical 3
530 Batería;3;Ensamble 2
530 Batería;3;Apreciación Musical 1
530 Batería;3;Instrumento Fundamental 3: Batería
530 Batería;4;Apreciación Musical 2
530 Batería;4;Instrumento Fundamental 4: Batería
530 Batería;4;Ensamble 3
530 Batería;4;Optativa 1
530 Batería;4;Lenguaje Musical 4
530 Batería;5;Ensamble 4
530 Batería;5;Optativa 2
530 Batería;5;Seminario Armonía
530 Batería;5;Instrumento Fundamental 5: Batería
530 Batería;5;Seminario Ritmo
530 Clarinete;1;Danzas Folklóricas
530 Clarinete;1;Lenguaje Musical 1
530 Clarinete;1;Instrumento Fundamental 1: Clarinete
530 Clarinete;1;Coro 1
530 Clarinete;1;Expresión Corporal
530 Clarinete;2;Lenguaje Musical 2
530 Clarinete;2;Ensamble 1
530 Clarinete;2;Instrumento Fundamental 2: Clarinete
530 Clarinete;2;Coro 2
530 Clarinete;3;Apreciación Musical 1
530 Clarinete;3;Instrumento Fundamental 3: Clarinete
530 Clarinete;3;Ensamble 2
530 Clarinete;3;Lenguaje Musical 3
530 Clarinete;4;Apreciación Musical 2
530 Clarinete;4;Optativa 1
530 Clarinete;4;Lenguaje Musical 4
530 Clarinete;4;Ensamble 3
530 Clarinete;4;Instrumento Fundamental 4: Clarinete
530 Clarinete;5;Seminario Armonía
530 Clarinete;5;Ensamble 4
530 Clarinete;5;Instrumento Fundamental 5: Clarinete
530 Clarinete;5;Optativa 2
530 Clarinete;5;Seminario Ritmo
530 Contrabajo;1;Coro 1
530 Contrabajo;1;Lenguaje Musical 1
530 Contrabajo;1;Expresión Corporal
530 Contrabajo;1;Danzas Folklóricas
